qid	answer	tigan	o1	p1	o2	p2	o3	p3	tail
1	2	IMAGEIMAGEIMAGEp001_img01_xref14__DOT__png	(1)	禁止任何車輛進入。	(2)	禁止四輪以上汽車及機車進入。	(3)	禁止行人通行。	
2	1	IMAGEIMAGEIMAGEp001_img02_xref16__DOT__png	(1)	禁止超車。	(2)	禁止會車。	(3)	禁止汽車進入。	
3	2	IMAGEIMAGEIMAGEp001_img03_xref18__DOT__png	(1)	雙向道。	(2)	禁止會車。	(3)	分道。	
4	3	當開車進入「國道施工路段」時，下列哪一項駕駛行為最能有效預防事故發生？	(1)	在施工縮減車道處加速超車。	(2)	開啟駕駛輔助系統後便放心地看手機。	(3)	提早變換至未施工車道，並保持隨時準備煞車的安全距離與專注力。	
5	1	駕駛配備有 Level 2 等級先進駕駛輔助系統 (ADAS) 的新車行駛於國道。關於在駕駛過程中 的行為與認知，下列哪一項最符合安全規範並能有效預防事故？	(1)	認知到目前的系統對「靜止工程車」辨識有限制，行經施工路段時應主動介入駕駛，而非依賴系統。	(2)	系統會 自動跟車與修正方向盤，可以趁機滑手機或閉目養神。	(3)	因為系統能辨識車道線，所以行 駛於大雨或大霧路段時，交給電腦操作比人工駕駛更安全。	
6	2	下列關於「變換車道」的行為，何者錯誤？	(1)	變換車道時，應讓直行車先行，並注意安全距離。	(2)	在雙白實線上可雙邊變換車道。	(3)	顯示方向燈、轉頭察看照後鏡、檢查視野死角並注意有無障礙或車輛行人。	
7	3	駕駛人行駛至交岔路口，其行進、轉彎時，下列規定何者正確？	(1)	由慢車道右轉彎時應於距交岔路口20至40公尺處，換入慢車道。	(2)	右轉彎時，應距交岔路口50公尺前顯示方 向燈。	(3)	於外側車道右轉彎時，應距交岔路口30公尺前顯示方向燈。	
8	1	汽車行駛中變換車道時，若未依規定全程顯示方向燈，其規定為何？	(1)	不論一般道路或高速公路，均屬違規行為，應依法裁罰。	(2)	行駛於高速公路時，才屬違規行為。	(3)	只要 確認後方無來車，未顯示方向燈亦不具罰責。	
9	1	汽車在同向二車道以上之道路，除應依標誌或標線之指示行駛外，下列何種行為正確？	(1)	變換車道時，應讓直行車先行並注意安全距離。	(2)	小型汽車行駛速度較慢時，應在外側車 道行駛，但可任意變換車道。	(3)	執行任務中之救護車，應行駛內側車道。	
10	3	汽車駕駛人於車流中利用空隙頻繁變換車道超車，下列何者正確？	(1)	屬合理駕駛行為。	(2)	未影響他人可接受。	(3)	不得任意以迫近，驟然變換車道或其他不當方式，迫使他車讓道。	
11	2	汽車駕駛人行駛於高速公路、快速公路，以變換燈光、連續密集按鳴喇叭迫使前車讓道，下列何者正確？	(1)	提醒前車讓路並無違規。	(2)	處新臺幣3,000元以上；6,000元以下罰鍰。	(3)	只要未發生事故不處罰。	
12	3	關於車輛配置之「先進駕駛輔助系統(ADAS)，如自動車距保持系統(ACC)、車道維持輔助系統 (LKA)」，下列敘述何者正確？	(1)	開啟系統後，駕駛人可以滑手機或短暫閉眼休息。	(2)	系統能辨識前方靜止障礙物（如工程車），不必擔心追撞。	(3)	屬輔助功能，駕駛人應隨時 注意前方路況，並雙手握持方向盤主動監控。	
13	2	汽車駕駛人在道路上任意以迫近、驟然變換車道方式迫使他車讓道：	(1)	有顯示方向燈即為正當行為。	(2)	屬於不當駕駛行為。	(3)	只要不發生事故即可。	
14	2	汽車駕駛人行經路口，遇有交通警察指揮與燈號顯示不一致時，應如何行駛？	(1)	以燈號顯示為準。	(2)	聽從交通警察指揮行駛。	(3)	視當時交通狀況，跟隨前車行駛。	
15	3	曾因酒駕經吊銷駕駛執照，於重新考照後，必須加裝何種設備於車上始得行駛？	(1)	行車紀錄器。	(2)	車用滅火器。	(3)	車輛點火自動鎖定裝置(酒精鎖)。	
16	2	完成酒駕防制教育或酒癮治療並經考驗合格後，拿到的駕照僅能開裝設有車輛點火自動鎖定裝置(酒精鎖)之汽車且強制使用時間為？	(1)	半年。	(2)	1年。	(3)	3年。	
17	3	關於酒駕之規定，下列何者正確？	(1)	酒測值標準是吐氣所含酒精濃度達每公升0.25毫克或血液中酒精濃度達0.10%以上。	(2)	12年內再犯酒駕，處新臺幣120,000元罰鍰。	(3)	酒駕 拒測處新臺幣180,000元罰鍰，並當場移置保管該汽機車、吊銷其駕駛執照。	
18	1	汽車駕駛人，駕駛汽車經測試檢定吐氣所含酒精濃度達每公升0.25毫克或血液中酒精濃度達 0.05%以上，18歲以上未滿70歲之同車乘客，倘無特殊原因，是否應受處罰，下列敘述何者正確？	(1)	同車乘客應受處罰。	(2)	同車乘客無處罰機制。	(3)	同車乘客只要無飲酒即無須受 處罰。	
19	3	汽車駕駛人飲酒後已間隔一段時間，自認酒精已代謝且無不適，下列何者正確？	(1)	可依自身感覺駕駛。	(2)	只要身體未出現不適，即可駕駛。	(3)	喝酒後不得駕車。	
20	2	汽車駕駛人酒後駕車初犯，酒精濃度測試超過法規標準，下列何者正確？	(1)	處新臺幣1萬5千至9萬元罰鍰。	(2)	處新臺幣3萬元至12萬元罰鍰，並吊扣駕照。	(3)	僅警告。	
21	2	汽車駕駛人10年內第3次以上酒駕，下列何者正確？	(1)	僅增加罰鍰。	(2)	按前次處罰鍰金額加罰新臺幣9萬元並吊銷駕照，公布其姓名。	(3)	僅記違規點數。	
22	3	根據現行規定，若駕駛人遭遇警察攔檢並明確表示「拒絕接受酒精濃度測試」，其初次違規 的處罰為何？	(1)	視酒精濃度決定罰鍰金額高低，當場移置保管該汽機車及吊扣其駕駛執照，接受道路交通安全講習。	(2)	處新臺幣 9 萬元罰鍰，當場移置保管該汽機車及吊銷其駕 駛執照，接受道路交通安全講習。	(3)	處新臺幣 18 萬元罰鍰，當場移置保管該汽機車及吊 銷其駕駛執照，接受道路交通安全講習。	
23	2	關於酒駕「累犯」的加重處罰規定，若駕駛人在幾年內第二次違反酒駕規定，將會被視為累犯並處以最高額罰鍰，且其後每次違規都會按次加罰 9 萬元？	(1)	5年內。	(2)	10年內。	(3)	終身計算，無期限限制。	
24	3	推廣「代駕服務」是減少酒駕的重要手段。關於代駕服務的觀念，下列哪一項敘述最能正確 體現安全保障？	(1)	若叫不到代駕，可以先休息一下再慢慢開車回家。	(2)	代駕只需負責把車開走，乘客不需在意代駕是否有專業執照。	(3)	代駕服務雖然需付費，但比起酒駕產生的 罰鍰、刑事責任與人命損失，是成本最低的選擇。	
25	2	汽車駕駛人有酒駕毒駕之情形，除汽車駕駛人處罰鍰及吊扣(銷)駕照處分外，所駕駛之該車 輛尚須？	(1)	該車汽車所有人如非駕駛人，須接受口頭警告並參加講習。	(2)	吊扣該汽機車牌照二年，並於移置保管該汽機車時，扣繳其牌照。	(3)	吊銷該汽機車牌照六個月，並於 移置保管該汽機車時，扣繳其牌照。	
26	2	關於汽機車駕駛人「酒測值超標」時，針對「同車乘客」之連坐處分，下列何種情況「免予處罰」？	(1)	乘客聲稱並不知道駕駛人有飲酒者。	(2)	乘客為未滿18歲、或年滿70歲 者。	(3)	乘客與駕駛人並無親屬關係者。	
27	3	駕駛人酒精濃度超過規定標準，駕車肇事致人重傷或死亡者，除依刑法處置外，其行政處分為何？	(1)	吊扣駕駛執照2年，並參加道路交通安全講習。	(2)	吊銷駕駛執照，並3年內不得 考領。	(3)	吊銷駕駛執照，並終身不得再考領。	
28	1	汽車駕駛人酒精濃度超過規定標準，且同車附載未滿12歲兒童，依規定其處罰為何？	(1)	處 新臺幣3萬元以上至12萬元以下罰鍰，並吊扣其駕駛執照2年至4年。	(2)	處新臺幣3萬元以上至12萬元以下罰鍰，並吊扣其駕駛執照1年至2年。	(3)	處最高新臺幣12萬元罰鍰 並吊銷駕駛執照。	
